ano,sexo,sit_cens,fx_idade,abaixo_low,abaixo_upp,normal_low,normal_upp,sobre_low,sobre_upp,obes_low,obes_upp,fx_imc,prop
2013,homem,urbano,18 a 29 anos,0.4849144579178488,0.5403254287401131,0.07794016141216364,0.1133783777470958,0.052589060074563175,0.07575722770346927,0.3039146503537946,0.3511806360509514,abaixo do peso,0.512619943328981
2013,homem,urbano,18 a 29 anos,0.4849144579178488,0.5403254287401131,0.07794016141216364,0.1133783777470958,0.052589060074563175,0.07575722770346927,0.3039146503537946,0.3511806360509514,normal,0.09565926957962972
2013,homem,urbano,18 a 29 anos,0.4849144579178488,0.5403254287401131,0.07794016141216364,0.1133783777470958,0.052589060074563175,0.07575722770346927,0.3039146503537946,0.3511806360509514,sobrepeso,0.06417314388901622
2013,homem,urbano,18 a 29 anos,0.4849144579178488,0.5403254287401131,0.07794016141216364,0.1133783777470958,0.052589060074563175,0.07575722770346927,0.3039146503537946,0.3511806360509514,obesidade,0.327547643202373
2013,homem,urbano,30 a 44 anos,0.5004074693649991,0.5490107448379391,0.047449906651319596,0.06766557616750196,0.06179774808543269,0.08256655539309445,0.3234238991859981,0.36767810031371484,abaixo do peso,0.5247091071014691
2013,homem,urbano,30 a 44 anos,0.5004074693649991,0.5490107448379391,0.047449906651319596,0.06766557616750196,0.06179774808543269,0.08256655539309445,0.3234238991859981,0.36767810031371484,normal,0.05755774140941078
2013,homem,urbano,30 a 44 anos,0.5004074693649991,0.5490107448379391,0.047449906651319596,0.06766557616750196,0.06179774808543269,0.08256655539309445,0.3234238991859981,0.36767810031371484,sobrepeso,0.07218215173926357
2013,homem,urbano,30 a 44 anos,0.5004074693649991,0.5490107448379391,0.047449906651319596,0.06766557616750196,0.06179774808543269,0.08256655539309445,0.3234238991859981,0.36767810031371484,obesidade,0.3455509997498565
2013,homem,urbano,45 a 59 anos,0.4650209978084986,0.5226258645930337,0.04418271313681992,0.06620125572472987,0.07446406511423502,0.10721262719959009,0.33316785648089287,0.38712461994220004,abaixo do peso,0.49382343120076616
2013,homem,urbano,45 a 59 anos,0.4650209978084986,0.5226258645930337,0.04418271313681992,0.06620125572472987,0.07446406511423502,0.10721262719959009,0.33316785648089287,0.38712461994220004,normal,0.055191984430774894
