ano,fx_idade,sexo,IMC,se,ci_l,ci_u
2013,18 a 29 anos,homem,82.93094218615292,2.715615098386566,77.60843439744205,88.25344997486378
2019,18 a 29 anos,homem,24.156026124685685,0.3454340594107007,23.478987809207243,24.833064440164126
2013,30 a 44 anos,homem,86.24068473381666,2.495256306829071,81.35007224023526,91.13129722739806
2019,30 a 44 anos,homem,26.926190064269974,0.26173770083911296,26.413193597228993,27.439186531310956
2013,45 a 59 anos,homem,91.15792371779601,3.222013423256954,84.84289345050777,97.47295398508425
2019,45 a 59 anos,homem,27.864773375508015,0.23887243995936308,27.396591996288457,28.332954754727574
2013,60 a 74 anos,homem,83.92223127512341,3.748495300560327,76.57531548980752,91.2691470604393
2019,60 a 74 anos,homem,26.695232719673538,0.32071378134669964,26.066645258888354,27.32382018045872
2013,75 anos ou mais,homem,83.11978911499075,6.575377103780246,70.23228680681218,96.00729142316932
2019,75 anos ou mais,homem,26.45104261018843,1.2595207835541726,23.982427236642586,28.919657983734275
2013,18 a 29 anos,mulher,78.57229673845609,2.454103489134313,73.76234228541875,83.38225119149342
2019,18 a 29 anos,mulher,25.098995082207914,0.6948744541858064,23.737066178226804,26.460923986189023
2013,30 a 44 anos,mulher,88.10408946174452,2.4746187329608005,83.25392586967321,92.95425305381583
2019,30 a 44 anos,mulher,27.608811338974878,0.5564240128468622,26.518240313661774,28.69938236428798
2013,45 a 59 anos,mulher,97.72376859975071,2.7393774094481858,92.35468753716964,103.09284966233179
2019,45 a 59 anos,mulher,29.27183771977771,0.6269148161102082,28.043107258827153,30.50056818072827
2013,60 a 74 anos,mulher,88.83075361540158,3.308885007390075,82.34545817193248,95.31604905887068
2019,60 a 74 anos,mulher,27.873087613924493,0.30875451407594007,27.267939886271485,28.478235341577502
2013,75 anos ou mais,mulher,85.8254425383973,5.073544265624368,75.88147850380382,95.76940657299077
2019,75 anos ou mais,mulher,26.452173709361443,0.5449716090773047,25.384048982973084,27.5202984357498
