ano,regiao,sit_cens,prev_exc_peso,prev_exc_peso_low,prev_exc_peso_upp
2013,Centro-Oeste,urbano,0.4631989793774925,0.43877281710021365,0.48762514165477133
2013,Centro-Oeste,rural,0.5386526236871877,0.47403524275587683,0.6032700046184986
2013,Nordeste,urbano,0.4042686593266084,0.38299083174126725,0.4255464869119495
2013,Nordeste,rural,0.41629459575204547,0.3828225268247111,0.44976666467937987
2013,Norte,urbano,0.37471751127392433,0.34580698760842143,0.4036280349394272
2013,Norte,rural,0.35345692712010424,0.2992128957023699,0.40770095853783855
2013,Sudeste,urbano,0.40208604750622345,0.382293230719825,0.4218788642926219
2013,Sudeste,rural,0.32234999328594155,0.2557908390035286,0.3889091475683545
2013,Sul,urbano,0.4033303363699867,0.37198209577193764,0.4346785769680358
2013,Sul,rural,0.3523111057317817,0.29312045975408474,0.41150175170947867
2019,Centro-Oeste,urbano,0.5885988106589453,0.5317371206214601,0.6454605006964305
2019,Centro-Oeste,rural,0.6301677679722522,0.5484977633459898,0.7118377725985146
2019,Nordeste,urbano,0.5565827739842424,0.5072177034676852,0.6059478445007995
2019,Nordeste,rural,0.535551622575423,0.491220512447515,0.5798827327033309
2019,Norte,urbano,0.5177332060403502,0.45141236219129155,0.5840540498894089
2019,Norte,rural,0.5932505280792045,0.46088837297732765,0.7256126831810814
2019,Sudeste,urbano,0.6254446072049294,0.5769724323094049,0.673916782100454
2019,Sudeste,rural,0.525450712164861,0.4547322781582758,0.5961691461714461
2019,Sul,urbano,0.6861651645096573,0.6327661995594409,0.7395641294598736
2019,Sul,rural,0.6602321158288743,0.6022502456914285,0.7182139859663201
